# timestamp, x, y, z, qx, qy, qz, qw
0.000000, -0.313256, -4.978914, 0.000000, 0.706758, 0.022211, 0.022211, 0.706758
50000000.000000, -0.626512, -4.957827, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
100000000.000000, -0.935050, -4.901857, 0.000000, 0.703969, 0.066543, 0.066543, 0.703969
150000000.000000, -1.242653, -4.838975, -0.000000, 0.701529, 0.088639, 0.088639, 0.701529
200000000.000000, -1.542319, -4.747191, -0.000000, 0.698403, 0.110607, 0.110607, 0.698403
250000000.000000, -1.838891, -4.644142, 0.000000, 0.694580, 0.132508, 0.132508, 0.694580
300000000.000000, -2.125255, -4.516935, -0.000000, 0.690081, 0.154235, 0.154235, 0.690081
350000000.000000, -2.405858, -4.376094, 0.000000, 0.684891, 0.175855, 0.175855, 0.684890
400000000.000000, -2.674572, -4.214947, 0.000000, 0.679035, 0.197258, 0.197258, 0.679035
450000000.000000, -2.934736, -4.039196, 0.000000, 0.672497, 0.218513, 0.218513, 0.672497
500000000.000000, -3.181730, -3.846402, 0.000000, 0.665309, 0.239509, 0.239509, 0.665309
550000000.000000, -3.417400, -3.638957, 0.000000, 0.657448, 0.260313, 0.260313, 0.657448
600000000.000000, -3.638958, -3.417399, -0.000000, 0.648954, 0.280817, 0.280817, 0.648954
650000000.000000, -3.846403, -3.181730, 0.000000, 0.639803, 0.301086, 0.301086, 0.639803
700000000.000000, -4.039196, -2.934735, 0.000000, 0.630039, 0.321015, 0.321015, 0.630039
750000000.000000, -4.214946, -2.674571, -0.000000, 0.619633, 0.340668, 0.340668, 0.619633
800000000.000000, -4.376094, -2.405857, 0.000000, 0.608639, 0.359942, 0.359942, 0.608639
850000000.000000, -4.516935, -2.125254, 0.000000, 0.597021, 0.378901, 0.378901, 0.597021
900000000.000000, -4.644141, -1.838890, -0.000000, 0.584840, 0.397445, 0.397445, 0.584840
950000000.000000, -4.747190, -1.542318, -0.000000, 0.572056, 0.415634, 0.415634, 0.572056
1000000000.000000, -4.838974, -1.242653, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
1050000000.000000, -4.901855, -0.935049, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
1100000000.000000, -4.957827, -0.626511, 0.000000, 0.530418, 0.467608, 0.467608, 0.530417
1150000000.000000, -4.978913, -0.313255, 0.000000, 0.515459, 0.484047, 0.484047, 0.515459
1200000000.000000, -5.000000, 0.000001, -0.000000, 0.500000, 0.500000, 0.500000, 0.500000
1250000000.000000, -4.978914, 0.313256, 0.000000, 0.484047, 0.515459, 0.515459, 0.484047
1300000000.000000, -4.957827, 0.626513, -0.000000, 0.467608, 0.530418, 0.530418, 0.467608
1350000000.000000, -4.901857, 0.935050, 0.000000, 0.450728, 0.544834, 0.544834, 0.450728
1400000000.000000, -4.838975, 1.242653, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
1450000000.000000, -4.747191, 1.542320, -0.000000, 0.415634, 0.572056, 0.572056, 0.415634
1500000000.000000, -4.644141, 1.838891, 0.000000, 0.397445, 0.584840, 0.584840, 0.397445
1550000000.000000, -4.516935, 2.125255, 0.000000, 0.378901, 0.597021, 0.597021, 0.378901
1600000000.000000, -4.376093, 2.405859, 0.000000, 0.359942, 0.608639, 0.608639, 0.359942
1650000000.000000, -4.214947, 2.674572, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
1700000000.000000, -4.039195, 2.934736, 0.000000, 0.321015, 0.630039, 0.630039, 0.321015
1750000000.000000, -3.846402, 3.181731, 0.000000, 0.301086, 0.639803, 0.639803, 0.301086
1800000000.000000, -3.638957, 3.417401, -0.000000, 0.280817, 0.648955, 0.648954, 0.280817
1850000000.000000, -3.417399, 3.638958, -0.000000, 0.260312, 0.657448, 0.657448, 0.260312
1900000000.000000, -3.181730, 3.846403, 0.000000, 0.239509, 0.665309, 0.665309, 0.239509
1950000000.000000, -2.934735, 4.039197, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
2000000000.000000, -2.674570, 4.214947, 0.000000, 0.197258, 0.679035, 0.679035, 0.197258
2050000000.000000, -2.405856, 4.376095, 0.000000, 0.175855, 0.684891, 0.684891, 0.175855
2100000000.000000, -2.125253, 4.516936, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
2150000000.000000, -1.838888, 4.644142, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
2200000000.000000, -1.542317, 4.747191, 0.000000, 0.110607, 0.698403, 0.698403, 0.110607
2250000000.000000, -1.242650, 4.838975, 0.000000, 0.088638, 0.701529, 0.701529, 0.088638
2300000000.000000, -0.935048, 4.901856, 0.000000, 0.066542, 0.703969, 0.703969, 0.066542
2350000000.000000, -0.626509, 4.957827, 0.000000, 0.044413, 0.705711, 0.705711, 0.044413
2400000000.000000, -0.313253, 4.978914, -0.000000, 0.022211, 0.706758, 0.706758, 0.022211
2450000000.000000, 0.000004, 5.000000, 0.000000, 0.000000, 0.707107, 0.707107, 0.000000
2500000000.000000, 0.313260, 4.978913, 0.000000, 0.022212, 0.706758, 0.706758, 0.022212
2550000000.000000, 0.626515, 4.957827, 0.000000, 0.044413, 0.705711, 0.705711, 0.044413
2600000000.000000, 0.935053, 4.901855, 0.000000, 0.066543, 0.703969, 0.703969, 0.066543
2650000000.000000, 1.242658, 4.838974, 0.000000, 0.088639, 0.701529, 0.701529, 0.088639
2700000000.000000, 1.542324, 4.747190, 0.000000, 0.110607, 0.698403, 0.698403, 0.110607
