#!events.txt
# This is a text DVS created by v2e (see https://github.com/SensorsINI/v2e)
# Format is time (float s), x, y, polarity (0=off, 1=on) as specified at http://rpg.ifi.uzh.ch/davis_data.html
# Creation time: 03:24PM April 26 2021
# Creation time: System.currentTimeMillis() 1619418257029
# User name: KCY
0.0010422454215586185 214 216 1
0.0010422454215586185 181 128 1
0.0010422454215586185 149 108 1
0.0010422454215586185 176 156 1
0.0010422454215586185 181 127 1
0.0010422454215586185 188 159 1
0.0010422454215586185 183 158 1
0.0010422454215586185 200 85 1
0.0010422454215586185 145 137 1
0.0010422454215586185 187 121 1
0.0010422454215586185 145 178 1
0.0010422454215586185 329 129 1
0.0010422454215586185 192 130 1
0.003126736031845212 142 111 1
0.003126736031845212 144 132 1
0.003126736031845212 163 68 1
0.003126736031845212 199 93 1
0.003126736031845212 13 251 1
0.003126736031845212 166 123 1
0.003126736031845212 142 113 1
0.003126736031845212 283 69 1
0.003126736031845212 184 86 1
0.003126736031845212 191 130 1
0.005211226642131805 199 91 1
0.005211226642131805 182 127 1
0.005211226642131805 145 138 1
0.005211226642131805 186 122 1
0.005211226642131805 146 98 1
0.005211226642131805 141 119 1
0.005211226642131805 200 82 1
0.005211226642131805 221 72 1
0.005211226642131805 157 120 1
0.005211226642131805 181 98 1
0.005211226642131805 167 69 1
0.005211226642131805 283 125 1
0.005211226642131805 141 117 1
0.0072957174852490425 339 169 0
0.0072957174852490425 182 158 1
0.0072957174852490425 192 107 1
0.0072957174852490425 144 104 1
0.0072957174852490425 143 107 1
0.0072957174852490425 200 81 1
0.0072957174852490425 139 99 1
0.0072957174852490425 218 103 1
0.0072957174852490425 143 127 1
0.0072957174852490425 187 129 1
0.0072957174852490425 168 149 1
0.0072957174852490425 162 68 1
0.0072957174852490425 164 68 1
0.0072957174852490425 109 65 1
0.0072957174852490425 183 127 1
0.0072957174852490425 198 95 1
0.0072957174852490425 179 108 1
0.00903279334306717 172 155 1
0.00903279334306717 339 169 1
0.00903279334306717 199 90 1
0.00903279334306717 186 159 1
0.00903279334306717 146 120 1
0.00903279334306717 173 75 1
0.00903279334306717 167 95 1
0.00903279334306717 156 67 1
0.00903279334306717 245 161 1
0.00903279334306717 200 86 1
0.00903279334306717 178 156 1
0.00903279334306717 141 121 1
0.00903279334306717 166 69 1
0.00903279334306717 171 154 1
0.00903279334306717 201 78 1
0.00903279334306717 165 69 1
0.00903279334306717 176 67 1
0.00903279334306717 160 67 1
0.00903279334306717 145 100 1
0.00903279334306717 200 83 1
0.00903279334306717 258 88 0
0.00903279334306717 142 112 1
0.00903279334306717 147 94 1
0.00903279334306717 141 115 1
0.00903279334306717 181 157 1
0.00903279334306717 144 135 1
0.00972762331366539 339 169 1
0.011464699171483517 258 88 1
0.011464699171483517 175 126 1
0.011464699171483517 141 116 1
0.011464699171483517 201 79 1
0.011464699171483517 197 161 1
0.011464699171483517 186 129 1
0.011464699171483517 144 105 1
0.011464699171483517 200 85 1
0.011464699171483517 187 159 1
0.011464699171483517 201 80 1
0.011464699171483517 171 106 1
0.011464699171483517 141 114 1
