#!events.txt
# This is a text DVS created by v2e (see https://github.com/SensorsINI/v2e)
# Format is time (float s), x, y, polarity (0=off, 1=on) as specified at http://rpg.ifi.uzh.ch/davis_data.html
# Creation time: 03:27PM April 26 2021
# Creation time: System.currentTimeMillis() 1619418428442
# User name: KCY
0.0010422454215586185 142 132 1
0.0010422454215586185 158 99 1
0.0010422454215586185 201 96 1
0.0010422454215586185 173 86 1
0.0010422454215586185 161 76 1
0.0010422454215586185 171 156 1
0.0010422454215586185 166 29 1
0.0010422454215586185 160 125 1
0.0010422454215586185 170 153 1
0.0010422454215586185 59 212 1
0.003126736031845212 156 75 1
0.003126736031845212 142 133 1
0.003126736031845212 141 134 1
0.003126736031845212 288 58 1
0.003126736031845212 164 77 1
0.003126736031845212 46 251 1
0.003126736031845212 328 16 1
0.003126736031845212 202 91 1
0.003126736031845212 181 149 1
0.003126736031845212 201 101 1
0.003126736031845212 162 76 1
0.003126736031845212 168 111 1
0.003126736031845212 155 74 1
0.003126736031845212 209 71 1
0.003126736031845212 155 75 1
0.003126736031845212 168 78 1
0.003126736031845212 166 77 1
0.003126736031845212 185 161 1
0.003126736031845212 145 116 1
0.003126736031845212 196 93 1
0.005211226642131805 147 117 1
0.005211226642131805 235 77 1
0.005211226642131805 159 130 1
0.005211226642131805 159 75 1
0.005211226642131805 202 92 1
0.005211226642131805 149 119 1
0.005211226642131805 141 133 1
0.005211226642131805 180 100 1
0.005211226642131805 186 161 1
0.005211226642131805 257 15 1
0.005211226642131805 227 75 1
0.005211226642131805 142 129 1
0.005211226642131805 202 90 1
0.005211226642131805 90 83 1
0.005211226642131805 202 93 1
0.0072957174852490425 140 136 1
0.0072957174852490425 140 137 1
0.0072957174852490425 199 111 1
0.0072957174852490425 175 80 1
0.0072957174852490425 144 119 1
0.0072957174852490425 180 134 1
0.0072957174852490425 297 85 1
0.0072957174852490425 184 161 1
0.0072957174852490425 146 112 1
0.0072957174852490425 110 231 1
0.0072957174852490425 201 102 1
0.0072957174852490425 200 104 1
0.0072957174852490425 165 77 1
0.0072957174852490425 200 102 1
0.0072957174852490425 180 159 1
0.0072957174852490425 152 109 1
0.0072957174852490425 182 160 1
0.0072957174852490425 199 112 1
0.0072957174852490425 173 106 1
0.0072957174852490425 141 135 1
0.00938020832836628 157 75 1
0.00938020832836628 202 89 1
0.00938020832836628 199 92 1
0.00938020832836628 142 127 1
0.00938020832836628 144 120 1
0.00938020832836628 169 78 1
0.00938020832836628 142 130 1
0.00938020832836628 167 77 1
0.00938020832836628 203 89 1
0.00938020832836628 163 123 1
0.00938020832836628 188 162 1
0.00938020832836628 201 99 1
0.00938020832836628 141 132 1
0.00938020832836628 158 75 1
0.00938020832836628 147 109 1
0.00938020832836628 156 74 1
0.00938020832836628 143 126 1
0.00938020832836628 169 133 1
0.00938020832836628 166 77 1
0.00938020832836628 178 159 1
0.00938020832836628 190 152 1
0.00938020832836628 84 143 1
0.00938020832836628 143 123 1
0.00938020832836628 202 94 1
0.00938020832836628 188 151 1
0.00938020832836628 289 211 1
0.00938020832836628 187 161 1
0.011464699171483517 151 106 1
0.011464699171483517 194 148 0
0.011464699171483517 296 65 1
0.011464699171483517 160 75 1
0.011464699171483517 183 160 1
0.011464699171483517 175 158 1
0.011464699171483517 201 97 1
0.011464699171483517 184 160 1
0.011464699171483517 201 100 1
0.011464699171483517 173 79 1
0.011464699171483517 144 122 1
0.011464699171483517 202 96 1
0.011464699171483517 201 87 0
0.011464699171483517 142 128 1
0.011464699171483517 155 94 1
0.011464699171483517 166 77 1
0.011464699171483517 1 196 1
0.011464699171483517 141 134 1
0.011464699171483517 173 157 1
0.011464699171483517 143 124 1
0.011464699171483517 181 160 1
0.011464699171483517 187 151 1
0.011464699171483517 179 127 1
0.011464699171483517 142 131 1
0.011464699171483517 155 81 1
0.011464699171483517 201 103 1
0.011464699171483517 183 150 1
0.013549190014600754 159 75 1
0.013549190014600754 150 119 1
0.013549190014600754 143 125 1
0.013549190014600754 141 133 1
0.013549190014600754 157 138 1
0.013549190014600754 161 76 1
0.013549190014600754 141 135 1
0.013549190014600754 254 129 1
0.013549190014600754 203 88 1
0.013549190014600754 163 76 1
0.013549190014600754 200 105 1
0.013549190014600754 146 113 1
0.013549190014600754 195 142 0
0.013549190014600754 185 161 1
0.013549190014600754 199 116 1
0.013549190014600754 107 68 1
0.013549190014600754 203 89 1
0.013549190014600754 162 76 1
0.013549190014600754 155 74 1
0.013549190014600754 201 101 1
0.013549190014600754 202 92 1
0.013549190014600754 193 153 0
0.013549190014600754 166 77 1
0.013549190014600754 153 78 0
0.013549190014600754 179 159 1
0.013549190014600754 315 255 1
0.015633679926395416 186 161 1
0.015633679926395416 160 76 1
0.015633679926395416 200 107 1
0.015633679926395416 140 134 1
0.015633679926395416 158 75 1
0.015633679926395416 145 115 1
0.015633679926395416 272 231 1
0.015633679926395416 198 135 1
0.015633679926395416 153 79 0
0.015633679926395416 170 78 1
0.015633679926395416 144 118 1
0.015633679926395416 202 91 1
0.015633679926395416 341 114 1
0.015633679926395416 202 95 1
0.015633679926395416 304 81 1
0.015633679926395416 192 152 1
0.015633679926395416 185 99 1
